date_time,RME_176,RMESP
1998-01-07 07:00:00,404.91,408.38
1998-01-07 08:00:00,422.54,422.54
1998-01-07 09:00:00,422.54,422.54
1998-01-07 10:00:00,429.79,429.79
1998-01-07 11:00:00,444.63,444.63
1998-01-07 12:00:00,463.83,467.76
1998-01-07 13:00:00,475.71,483.78
1998-01-07 14:00:00,487.86,487.86
1998-01-07 15:00:00,496.12,496.12
1998-01-07 16:00:00,504.51,504.51
1998-01-07 17:00:00,508.75,513.03
1998-01-07 18:00:00,496.12,504.51
1998-01-07 19:00:00,483.78,496.12
1998-01-07 20:00:00,475.71,483.78
1998-01-07 21:00:00,463.83,471.72
1998-01-07 22:00:00,444.63,452.22
1998-01-07 23:00:00,433.46,437.15
1998-01-08 00:00:00,444.63,444.63
1998-01-08 01:00:00,426.15,426.15
1998-01-08 02:00:00,411.88,411.88
1998-01-08 03:00:00,394.65,398.05
1998-01-08 04:00:00,378.09,381.35
1998-01-08 05:00:00,374.85,374.85
1998-01-08 06:00:00,371.64,371.64
1998-01-08 07:00:00,371.64,374.85
1998-01-08 08:00:00,374.85,374.85
1998-01-08 09:00:00,368.45,368.45
1998-01-08 10:00:00,349.86,352.9
1998-01-08 11:00:00,359.05,365.29
1998-01-08 12:00:00,371.64,381.35
1998-01-08 13:00:00,384.64,394.65
1998-01-08 14:00:00,398.05,418.96
1998-01-08 15:00:00,398.05,429.79
1998-01-08 16:00:00,384.64,391.29
1998-01-08 17:00:00,362.16,368.45
1998-01-08 18:00:00,346.84,359.05
1998-01-08 19:00:00,337.94,343.85
1998-01-08 20:00:00,315.21,326.39
1998-01-08 21:00:00,329.24,340.88
1998-01-08 22:00:00,293.88,309.75
1998-01-08 23:00:00,273.88,293.88
1998-01-09 00:00:00,288.76,307.05
1998-01-09 01:00:00,286.23,299.08
1998-01-09 02:00:00,283.72,301.72
1998-01-09 03:00:00,301.72,317.97
1998-01-09 04:00:00,301.72,307.05
1998-01-09 05:00:00,315.21,320.76
1998-01-09 06:00:00,315.21,299.08
1998-01-09 07:00:00,304.37,271.47
1998-01-09 08:00:00,299.08,269.08
1998-01-09 09:00:00,304.37,299.08
1998-01-09 10:00:00,307.05,315.21
1998-01-09 11:00:00,304.37,335.02
1998-01-09 12:00:00,291.31,332.12
1998-01-09 13:00:00,278.76,323.56
1998-01-09 14:00:00,276.31,332.12
1998-01-09 15:00:00,301.72,349.86
1998-01-09 16:00:00,323.56,368.45
1998-01-09 17:00:00,329.24,346.84
1998-01-09 18:00:00,337.94,346.84
1998-01-09 19:00:00,362.16,362.16
1998-01-09 20:00:00,408.38,415.41
1998-01-09 21:00:00,440.87,448.41
1998-01-09 22:00:00,463.83,459.93
1998-01-09 23:00:00,475.71,471.72
1998-01-10 00:00:00,475.71,475.71
1998-01-10 01:00:00,475.71,475.71
1998-01-10 02:00:00,471.72,471.72
1998-01-10 03:00:00,475.71,475.71
1998-01-10 04:00:00,479.73,479.73
1998-01-10 05:00:00,475.71,475.71
1998-01-10 06:00:00,475.71,475.71
1998-01-10 07:00:00,479.73,483.78
1998-01-10 08:00:00,491.98,491.98
1998-01-10 09:00:00,496.12,496.12
1998-01-10 10:00:00,500.3,504.51
1998-01-10 11:00:00,517.34,521.68
1998-01-10 12:00:00,534.9,543.88
1998-01-10 13:00:00,534.9,543.88
1998-01-10 14:00:00,530.46,539.37
1998-01-10 15:00:00,539.37,543.88
1998-01-10 16:00:00,539.37,543.88
1998-01-10 17:00:00,543.88,548.42
1998-01-10 18:00:00,543.88,543.88
1998-01-10 19:00:00,534.9,539.37
1998-01-10 20:00:00,534.9,534.9
1998-01-10 21:00:00,539.37,539.37
1998-01-10 22:00:00,534.9,534.9
1998-01-10 23:00:00,534.9,534.9
1998-01-11 00:00:00,530.46,530.46
1998-01-11 01:00:00,534.9,534.9
1998-01-11 02:00:00,534.9,534.9
1998-01-11 03:00:00,539.37,539.37
1998-01-11 04:00:00,534.9,534.9
1998-01-11 05:00:00,530.46,530.46
1998-01-11 06:00:00,526.05,521.68
1998-01-11 07:00:00,521.68,521.68
1998-01-11 08:00:00,526.05,526.05
1998-01-11 09:00:00,534.9,539.37
1998-01-11 10:00:00,539.37,539.37
1998-01-11 11:00:00,543.88,548.42
1998-01-11 12:00:00,553.0,553.0
1998-01-11 13:00:00,557.61,557.61
1998-01-11 14:00:00,562.26,566.94
1998-01-11 15:00:00,571.66,571.66
1998-01-11 16:00:00,539.37,539.37
1998-01-11 17:00:00,483.78,483.78
1998-01-11 18:00:00,444.63,444.63
1998-01-11 19:00:00,411.88,415.41
1998-01-11 20:00:00,404.91,408.38
1998-01-11 21:00:00,411.88,408.38
1998-01-11 22:00:00,398.05,401.46
1998-01-11 23:00:00,391.29,391.29
1998-01-12 00:00:00,391.29,394.65
1998-01-12 01:00:00,391.29,391.29
1998-01-12 02:00:00,391.29,391.29
1998-01-12 03:00:00,387.95,391.29
1998-01-12 04:00:00,384.64,387.95
1998-01-12 05:00:00,387.95,387.95
1998-01-12 06:00:00,381.35,381.35
1998-01-12 07:00:00,359.05,355.96
1998-01-12 08:00:00,352.9,337.94
1998-01-12 09:00:00,340.88,320.76
1998-01-12 10:00:00,371.64,378.09
1998-01-12 11:00:00,394.65,408.38
1998-01-12 12:00:00,433.46,452.22
1998-01-12 13:00:00,471.72,487.86
1998-01-12 14:00:00,521.68,530.46
1998-01-12 15:00:00,557.61,557.61
1998-01-12 16:00:00,562.26,566.94
1998-01-12 17:00:00,571.66,571.66
1998-01-12 18:00:00,571.66,571.66
1998-01-12 19:00:00,571.66,571.66
1998-01-12 20:00:00,581.2,581.2
1998-01-12 21:00:00,586.03,586.03
1998-01-12 22:00:00,571.66,571.66
1998-01-12 23:00:00,562.26,557.61
1998-01-13 00:00:00,530.46,530.46
1998-01-13 01:00:00,487.86,487.86
1998-01-13 02:00:00,463.83,463.83
1998-01-13 03:00:00,459.93,459.93
1998-01-13 04:00:00,437.15,437.15
1998-01-13 05:00:00,426.15,426.15
1998-01-13 06:00:00,401.46,401.46
1998-01-13 07:00:00,394.65,394.65
1998-01-13 08:00:00,391.29,394.65
1998-01-13 09:00:00,394.65,394.65
1998-01-13 10:00:00,398.05,398.05
1998-01-13 11:00:00,401.46,408.38
1998-01-13 12:00:00,411.88,426.15
1998-01-13 13:00:00,418.96,437.15
1998-01-13 14:00:00,437.15,463.83
1998-01-13 15:00:00,456.06,475.71
1998-01-13 16:00:00,456.06,467.76
1998-01-13 17:00:00,429.79,437.15
1998-01-13 18:00:00,401.46,408.38
1998-01-13 19:00:00,387.95,381.35
1998-01-13 20:00:00,378.09,362.16
1998-01-13 21:00:00,378.09,374.85
1998-01-13 22:00:00,368.45,349.86
1998-01-13 23:00:00,343.85,337.94
1998-01-14 00:00:00,352.9,343.85
1998-01-14 01:00:00,359.05,359.05
1998-01-14 02:00:00,362.16,365.29
1998-01-14 03:00:00,355.96,368.45
1998-01-14 04:00:00,349.86,368.45
1998-01-14 05:00:00,352.9,371.64
1998-01-14 06:00:00,374.85,384.64
1998-01-14 07:00:00,394.65,398.05
1998-01-14 08:00:00,411.88,415.41
1998-01-14 09:00:00,429.79,433.46
1998-01-14 10:00:00,444.63,452.22
1998-01-14 11:00:00,467.76,471.72
1998-01-14 12:00:00,487.86,500.3
1998-01-14 13:00:00,483.78,500.3
1998-01-14 14:00:00,483.78,496.12
1998-01-14 15:00:00,487.86,500.3
1998-01-14 16:00:00,504.51,517.34
1998-01-14 17:00:00,517.34,521.68
1998-01-14 18:00:00,530.46,530.46
1998-01-14 19:00:00,539.37,543.88
1998-01-14 20:00:00,539.37,543.88
1998-01-14 21:00:00,543.88,543.88
1998-01-14 22:00:00,543.88,543.88
1998-01-14 23:00:00,543.88,543.88
1998-01-15 00:00:00,553.0,553.0
1998-01-15 01:00:00,553.0,553.0
